,Linear,Ridge,Lasso,Linear_rank,Ridge_rank,Lasso_rank
region,0.5841657863376919,0.16880946830283464,0.08543761749233396,1.0,1.0,1.0
state,0.5064021384207607,0.14851124680658795,0.06938632913331652,2.0,2.0,2.0
model,0.026309771282495054,0.026213507475029475,0.00826366549929487,3.0,3.0,7.0
type,0.020035444867845875,0.020006791384678813,0.01495307027055497,4.0,4.0,5.0
cylinders,0.014849632453753703,0.0148093429892309,0.010904359078837944,5.0,5.0,6.0
condition,0.014725685907046527,0.014730219490472207,0.015131964435216938,6.0,6.0,4.0
transmission,0.014675349378333891,0.014703108113629548,0.024215590545178512,7.0,7.0,3.0
manufacturer,0.006955772475753574,0.006916027636493927,0.003424482628952641,8.0,8.0,10.0
year,0.0068229513318533,0.006819468690070418,0.007604158201478572,9.0,9.0,8.0
title_status,0.004471976391881849,0.0044701466107668454,0.0032705985253864587,10.0,10.0,11.0
drive,0.003934164800954853,0.003931727901172588,0.004050602816846804,11.0,11.0,9.0
paint_color,0.001468557246238067,0.001469624303972339,0.0011548195282496732,12.0,13.0,13.0
fuel,0.0014664982967410923,0.0014706430904986023,0.0018815684884691763,13.0,12.0,12.0
log_odometer,0.0005488563880243879,0.0005489308143168282,0.0009273575848583904,14.0,14.0,14.0
